# x_m,y_m,w_tr_right_m,w_tr_left_m
2.4,-1.4,0.7,0.7
2.4,-1.3490909090909091,0.7,0.7
2.4,-1.298181818181818,0.7,0.7
2.4,-1.247272727272727,0.7,0.7
2.4,-1.1963636363636363,0.7,0.7
2.4,-1.1454545454545455,0.7,0.7
2.4,-1.0945454545454545,0.7,0.7
2.4,-1.0436363636363635,0.7,0.7
2.4,-0.9927272727272727,0.7,0.7
2.4,-0.9418181818181818,0.7,0.7
2.4,-0.8909090909090909,0.7,0.7
2.4,-0.84,0.7,0.7
2.4,-0.7890909090909091,0.7,0.7
2.4,-0.7381818181818182,0.7,0.7
2.4,-0.6872727272727273,0.7,0.7
2.4,-0.6363636363636364,0.7,0.7
2.4,-0.5854545454545454,0.7,0.7
2.4,-0.5345454545454545,0.7,0.7
2.4,-0.48363636363636364,0.7,0.7
2.4,-0.43272727272727274,0.7,0.7
2.4,-0.38181818181818183,0.7,0.7
2.4,-0.33090909090909104,0.7,0.7
2.4,-0.28,0.7,0.7
2.4,-0.22909090909090923,0.7,0.7
2.4,-0.17818181818181822,0.7,0.7
2.4,-0.1272727272727272,0.7,0.7
2.4,-0.07636363636363641,0.7,0.7
2.4,-0.025454545454545396,0.7,0.7
2.4,0.025454545454545396,0.7,0.7
2.4,0.07636363636363619,0.7,0.7
2.4,0.1272727272727272,0.7,0.7
2.4,0.178181818181818,0.7,0.7
2.4,0.229090909090909,0.7,0.7
2.4,0.28,0.7,0.7
2.4,0.3309090909090908,0.7,0.7
2.4,0.38181818181818183,0.7,0.7
2.4,0.4327272727272726,0.7,0.7
2.4,0.48363636363636364,0.7,0.7
2.4,0.5345454545454544,0.7,0.7
2.4,0.5854545454545454,0.7,0.7
2.4,0.6363636363636362,0.7,0.7
2.4,0.687272727272727,0.7,0.7
2.4,0.7381818181818178,0.7,0.7
2.4,0.7890909090909086,0.7,0.7
2.4,0.8399999999999999,0.7,0.7
2.4,0.8909090909090907,0.7,0.7
2.4,0.9418181818181814,0.7,0.7
2.4,0.9927272727272727,0.7,0.7
2.4,1.0436363636363635,0.7,0.7
2.4,1.0945454545454543,0.7,0.7
2.4,1.1454545454545455,0.7,0.7
2.4,1.1963636363636363,0.7,0.7
2.4,1.247272727272727,0.7,0.7
2.4,1.2981818181818179,0.7,0.7
2.4,1.3490909090909091,0.7,0.7
2.4,1.4,0.7,0.7
2.349473684210526,1.4,0.7,0.7
2.2989473684210524,1.4,0.7,0.7
2.2484210526315787,1.4,0.7,0.7
2.1978947368421053,1.4,0.7,0.7
2.1473684210526316,1.4,0.7,0.7
2.096842105263158,1.4,0.7,0.7
2.046315789473684,1.4,0.7,0.7
1.9957894736842103,1.4,0.7,0.7
1.9452631578947368,1.4,0.7,0.7
1.8947368421052633,1.4,0.7,0.7
