# x_m,y_m,w_tr_right_m,w_tr_left_m
1.7,-0.8000000000000002,0.7,0.7
1.7,-0.7500000000000001,0.7,0.7
1.7,-0.7000000000000002,0.7,0.7
1.7,-0.6500000000000001,0.7,0.7
1.7,-0.6000000000000001,0.7,0.7
1.7,-0.55,0.7,0.7
1.7,-0.5000000000000001,0.7,0.7
1.7,-0.45000000000000007,0.7,0.7
1.7,-0.4000000000000001,0.7,0.7
1.7,-0.3500000000000001,0.7,0.7
1.7,-0.30000000000000004,0.7,0.7
1.7,-0.25,0.7,0.7
1.7,-0.20000000000000007,0.7,0.7
1.7,-0.15000000000000002,0.7,0.7
1.7,-0.09999999999999998,0.7,0.7
1.7,-0.050000000000000044,0.7,0.7
1.7,0.0,0.7,0.7
1.7,0.050000000000000044,0.7,0.7
1.7,0.09999999999999998,0.7,0.7
1.7,0.15000000000000002,0.7,0.7
1.7,0.20000000000000007,0.7,0.7
1.7,0.2500000000000001,0.7,0.7
1.7,0.30000000000000016,0.7,0.7
1.7,0.35,0.7,0.7
1.7,0.4,0.7,0.7
1.7,0.45000000000000007,0.7,0.7
1.7,0.5000000000000001,0.7,0.7
1.7,0.5500000000000002,0.7,0.7
1.7,0.6000000000000002,0.7,0.7
1.7,0.65,0.7,0.7
1.7,0.7000000000000001,0.7,0.7
1.7,0.7500000000000001,0.7,0.7
1.7,0.8000000000000002,0.7,0.7
1.65,0.8000000000000002,0.7,0.7
1.5999999999999999,0.8000000000000002,0.7,0.7
1.55,0.8000000000000002,0.7,0.7
1.5,0.8000000000000002,0.7,0.7
1.45,0.8000000000000002,0.7,0.7
1.4,0.8000000000000002,0.7,0.7
1.35,0.8000000000000002,0.7,0.7
1.3,0.8000000000000002,0.7,0.7
1.25,0.8000000000000002,0.7,0.7
1.2,0.8000000000000002,0.7,0.7
1.15,0.8000000000000002,0.7,0.7
1.1,0.8000000000000002,0.7,0.7
1.05,0.8000000000000002,0.7,0.7
1.0,0.8000000000000002,0.7,0.7
0.95,0.8000000000000002,0.7,0.7
0.9,0.8000000000000002,0.7,0.7
0.85,0.8000000000000002,0.7,0.7
0.7999999999999999,0.8000000000000002,0.7,0.7
0.75,0.8000000000000002,0.7,0.7
0.7,0.8000000000000002,0.7,0.7
0.6499999999999999,0.8000000000000002,0.7,0.7
0.5999999999999999,0.8000000000000002,0.7,0.7
0.5499999999999998,0.8000000000000002,0.7,0.7
0.5,0.8000000000000002,0.7,0.7
0.4500000000000002,0.8000000000000002,0.7,0.7
0.40000000000000013,0.8000000000000002,0.7,0.7
0.3500000000000001,0.8000000000000002,0.7,0.7
0.30000000000000004,0.8000000000000002,0.7,0.7
0.25,0.8000000000000002,0.7,0.7
0.19999999999999996,0.8000000000000002,0.7,0.7
0.15000000000000013,0.8000000000000002,0.7,0.7
0.10000000000000009,0.8000000000000002,0.7,0.7
0.050000000000000044,0.8000000000000002,0.7,0.7
